LineID,ItemID,CBS,WBS_PackageID,WBS_DeliverableID,Description,Qty,Unit,UnitRate,Amount,Currency,Method,SourceRef,Confidence,Notes
L-018,ITM-018,Mechanical > Controls & Commissioning,PKG-013,DEL-013-03,Pressurization check at overhead doors,1,LS,1000.00,1000.00,CAD,PARAMETRIC,ASSUMPTION: pressure differential measurement at multiple door locations,LOW,Part of commissioning scope; TBD Pa acceptance range
L-019,ITM-019,Mechanical > Administration & Permits,PKG-013,DEL-013-03,As-built documentation preparation,1,LS,2000.00,2000.00,CAD,PARAMETRIC,ASSUMPTION: ~20 hrs drafting/markup at blended rate,LOW,Marked-up drawings for MUA unit + ductwork + dampers
L-020,ITM-020,Mechanical > Administration & Permits,PKG-013,DEL-013-03,O&M manual compilation and submittal,1,LS,1200.00,1200.00,CAD,PARAMETRIC,ASSUMPTION: compilation/assembly of manufacturer + commissioning docs,LOW,Manufacturer O&M + TAB report + commissioning report + filter schedule
L-021,ITM-021,Mechanical > Administration & Permits,PKG-013,DEL-013-03,Owner/facilities staff training,1,LS,1500.00,1500.00,CAD,PARAMETRIC,ASSUMPTION: ~8 hrs training delivery at journeyman rate + prep,LOW,Operation/maintenance/filter/troubleshooting/emergency shutdown
L-022A,ITM-022,Professional Services > Project Management,PKG-013,DEL-013-03,Project Manager - MUA deliverable coordination,6,hr,165.00,990.00,CAD,PARAMETRIC,Level_of_Effort.csv DEL-013-03 R-01 (6 hr) + Professional_Staff_Rates.csv R-01 ($165/hr),MEDIUM,LOE from price source
L-022B,ITM-022,Professional Services > Project Management,PKG-013,DEL-013-03,Construction Project Manager - MUA coordination,8,hr,155.00,1240.00,CAD,PARAMETRIC,Level_of_Effort.csv DEL-013-03 R-02 (8 hr) + Professional_Staff_Rates.csv R-02 ($155/hr),MEDIUM,LOE from price source
L-022C,ITM-022,Professional Services > Project Management,PKG-013,DEL-013-03,Site Superintendent - MUA field leadership,10,hr,145.00,1450.00,CAD,PARAMETRIC,Level_of_Effort.csv DEL-013-03 R-03 (10 hr) + Professional_Staff_Rates.csv R-03 ($145/hr),MEDIUM,LOE from price source
L-022D,ITM-022,Professional Services > Project Management,PKG-013,DEL-013-03,Cost Estimator - MUA estimate prep,4,hr,135.00,540.00,CAD,PARAMETRIC,Level_of_Effort.csv DEL-013-03 R-08 (4 hr) + Professional_Staff_Rates.csv R-08 ($135/hr),MEDIUM,LOE from price source
L-022E,ITM-022,Professional Services > Project Management,PKG-013,DEL-013-03,QA/QC Lead - MUA quality oversight,6,hr,135.00,810.00,CAD,PARAMETRIC,Level_of_Effort.csv DEL-013-03 R-06 (6 hr) + Professional_Staff_Rates.csv R-06 ($135/hr),MEDIUM,LOE from price source
L-022F,ITM-022,Professional Services > Project Management,PKG-013,DEL-013-03,HSE Manager - MUA safety oversight,4,hr,140.00,560.00,CAD,PARAMETRIC,Level_of_Effort.csv DEL-013-03 R-05 (4 hr) + Professional_Staff_Rates.csv R-05 ($140/hr),MEDIUM,LOE from price source
L-023,ITM-023,Mechanical > Administration & Permits,PKG-013,DEL-013-03,Delivery logistics and rigging/crane for MUA unit setting,1,LS,3500.00,3500.00,CAD,PARAMETRIC,ASSUMPTION: crane/rigging for large MUA unit in Utility Room,LOW,Large/heavy unit; coordinated with Utility Room readiness (DEL-012-02)
L-024,ITM-024,Mechanical > HVAC Equipment & Distribution,PKG-013,DEL-013-03,Gas supply connection to MUA unit,1,LS,2500.00,2500.00,CAD,PARAMETRIC,ASSUMPTION: gas piping connection by licensed gas fitter,LOW,ASSUMPTION: gas-fired MUA per Guidance C3; gas service via SOW-0080
L-025,ITM-025,Mechanical > Administration & Permits,PKG-013,DEL-013-03,AHJ inspections - rough-in and final,2,EA,350.00,700.00,CAD,PARAMETRIC,ASSUMPTION: AHJ inspection fees for mechanical rough-in + final,LOW,Hold points per Procedure Step 5.2; includes fire damper inspection
